City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
550,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
552,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
553,Shahada,IN,79.56,scattered clouds,21.55,74.4667,Patel Residency
556,Hamilton,US,79.57,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
558,Matara,LK,77.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
561,La Asuncion,VE,81.5,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
572,Brokopondo,SR,83.52,overcast clouds,4.75,-55.1667,Matu Island
578,Benghazi,LY,78.48,few clouds,32.1167,20.0667,Tibesti Hotel
583,Sampit,ID,76.26,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
584,San Lorenzo,PY,76.59,scattered clouds,-25.3333,-57.5333,Hotel del Sur
586,Mackay,AU,81.68,scattered clouds,-21.15,149.2,International Lodge Motel
590,Jalu,LY,76.23,clear sky,29.0331,21.5482,صاحبة الفخامة
597,Puerto Ayacucho,VE,77.25,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
599,Mareeba,AU,81.48,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
601,Nauta,PE,82.4,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
603,Morondava,MG,75.65,few clouds,-20.2833,44.2833,La Case Bambou
606,Hambantota,LK,79.54,overcast clouds,6.1241,81.1185,Bungalow 63
608,Umm Lajj,SA,87.76,clear sky,25.0213,37.2685,Moon light Furnished Units
610,Danshui,CN,82.02,broken clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
611,Manacapuru,BR,86.58,moderate rain,-3.2997,-60.6206,Novo Hotel
612,Lagunas,PE,82.53,scattered clouds,-5.2269,-75.6753,Hospedaje Eco
623,Itacare,BR,78.69,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
625,Warri,NG,75.33,overcast clouds,5.5167,5.75,BON Hotel Delta
629,Trinidad,BO,91.38,overcast clouds,-14.8333,-64.9,Hotel Piesta
631,Altamira,BR,79.68,broken clouds,-3.2033,-52.2064,Requinte Hotel
633,Punta Cardon,VE,83.68,overcast clouds,11.6581,-70.215,Bambuda hotel
634,Ryotsu,JP,75.16,scattered clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
639,Jaque,PA,78.31,light rain,7.5175,-78.1703,Imbu Bua Lodge
640,Nishihara,JP,83.48,overcast clouds,26.1842,127.7558,Minshuku Agaihama
644,Kupang,ID,79.79,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
650,Pangai,TO,77.11,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
652,Matadi,CD,78.4,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
672,Port Hedland,AU,78.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
674,Nisia Floresta,BR,81.41,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
680,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
681,Mulki,IN,76.28,mist,13.1,74.8,Karnire Camping Ground
687,Tuy Hoa,VN,76.87,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
691,Mandiana,GN,77.97,light rain,10.6333,-8.6833,Motels rouzo
